qid	qexplain	qsource	qdifficulty	qexplain	qsource	qmainpoint
95	107．在weblogic中发布ejb需涉及到哪些配置文件	"不同类型的EJB涉及的配置文件不同，都涉及到的配置文件包括ejb-jar.xml,weblogic-ejb-jar.xmlCMP实体Bean一般还需要weblogic-cmp-rdbms-jar.xml "	3	weblogic	2012年最新java笔试题	MVC
96	108．如何在weblogic中进行ssl配置与客户端的认证配置或说说j2ee(标准)进行ssl的配置	缺省安装中使用DemoIdentity.jks和DemoTrust.jks  KeyStore实现SSL，需要配置服务器使用Enable SSL，配置其端口，在产品模式下需要从CA获取私有密钥和数字证书，创建identity和trust keystore，装载获得的密钥和数字证书。可以配置此SSL连接是单向还是双向的。	3	weblogic	2012年最新java笔试题	MVC
97	109．如何查看在weblogic中已经发布的EJB?	可以使用管理控制台，在它的Deployment中可以查看所有已发布的EJB	3	weblogic	2012年最新java笔试题	MVC
98	110．说说在weblogic中开发消息Bean时的persistent与non-persisten的差别	"persistent方式的MDB可以保证消息传递的可靠性,也就是如果EJB容器出现问题而JMS服务器依然会将消息在此MDB可用的时候发送过来，而non－persistent方式的消息将被丢弃。"	3	weblogic	2012年最新java笔试题	MVC
99	112．如何启动时不需输入用户名与密码?	修改服务启动文件，增加 WLS_USER和WLS_PW项。也可以在boot.properties文件中增加加密过的用户名和密码.	3		2012年最新java笔试题	
100	113．CORBA是什么?用途是什么? 	"CORBA 标准是公共对象请求代理结构(Common Object Request Broker Architecture)，由对象管理组织 (Object Management Group，缩写为 OMG)标准化。它的组成是接口定义语言(IDL), 语言绑定(binding:也译为联编)和允许应用程序间互操作的协议。 其目的为：用不同的程序设计语言书写在不同的进程中运行，为不同的操作系统开发。"	3	J2EE基础知识	2012年最新java笔试题	J2EE基础知识
101	116．J2EE是什么？	"J2EE是Sun公司提出的多层(multi-diered),分布式(distributed),基于组件(component-base)的企业级应用模型(enterpriese application model).在这样的一个应用系统中，可按照功能划分为不同的组件，这些组件又可在不同计算机上，并且处于相应的层次(tier)中。所属层次包括客户层(clietn tier)组件,web层和组件,Business层和组件,企业信息系统(EIS)层。"	1	J2EE基础知识	2012年最新java笔试题	MVC
102	开发中都用到了那些设计模式?用在什么场合? 	每个模式都描述了一个在我们的环境中不断出现的问题，然后描述了该问题的解决方案的核心。通过这种方式，你可以无数次地使用那些已有的解决方案，无需在重复相同的工作。主要用到了MVC的设计模式。用来开发JSP/Servlet或者J2EE的相关应用。简单工厂模式等。	3	设计模式	2012年最新java笔试题	MVC
103	118． Servlet执行时一般实现哪几个方法？	"public void init(ServletConfig config)
public ServletConfig getServletConfig()
public String getServletInfo()
public void service(ServletRequest request,ServletResponse response)
public void destroy()
"	2	Servlet编程?	2012年最新java笔试题	Servlet
104	119．如何现实servlet的单线程模式	"%@ page isThreadSafe=""false""%"	2	Servlet编程?	2012年最新java笔试题	Servlet
105	122．java中会存在内存泄漏吗，请简单描述。	"会。如：int i,i2;  return (i-i2);   //when i为足够大的正数,i2为足够大的负数。结果会造成溢位，导致错误。"	3	Java语言基本知识	2012年最新java笔试题	Java语言基本知识
106	124．Java中的异常处理机制的简单原理和应用。	"当JAVA程序违反了JAVA的语义规则时，JAVA虚拟机就会将发生的错误表示为一个异常。违反语义规则包括2种情况。一种是JAVA类库内置的语义检查。例如数组下标越界,会引发IndexOutOfBoundsException;访问null的对象时会引发NullPointerException。另一种情况就是JAVA允许程序员扩展这种语义检查，程序员可以创建自己的异常，并自由选择在何时用throw关键字引发异常。所有的异常都是java.lang.Thowable的子类。"	1	J2SE中常见类等基本知识	2012年最新java笔试题	异常
107	126．是否可以从一个static方法内部发出对非static方法的调用？	"不可以,如果其中包含对象的method()；不能保证对象初始化."	2	面向对象编程进阶	2012年最新java笔试题	类
108	127、写clone()方法时，通常都有一行代码，是什么？	Clone 有缺省行为，super.clone();他负责产生正确大小的空间，并逐位复制。	3	面向对象编程进阶	2012年最新java笔试题	类
109	128、在JAVA中，如何跳出当前的多重嵌套循环？	用break; return 方法。	2	Java编程语法基础	2012年最新java笔试题	语句控制
110	129、List、Map、Set三个接口，存取元素时，各有什么特点？	"List 以特定次序来持有元素，可有重复元素。Set 无法拥有重复元素,内部排序。Map 保存key-value值，value可多值。"	1	J2SE中常见类等基本知识	2012年最新java笔试题	集合
111	130、UML方面	"标准建模语言UML。用例图,静态图(包括类图、对象图和包图),行为图,交互图(顺序图,合作图),实现图。"	2	UML	2012年最新java笔试题	UML
112	说出一些常用的类，包，接口，请各举5个	"常用的类：BufferedReader  BufferedWriter  FileReader  FileWirter  String  Integer
常用的包：java.lang  java.awt  java.io  java.util  java.sql
常用的接口：Remote  List  Map  Document  NodeList
"	1	面向对象编程基础	2012年最新java笔试题	类
113	132、jsp有哪些动作?作用分别是什么? 	JSP共有以下6种基本动作 jsp:include：在页面被请求的时候引入一个文件。 jsp:useBean：寻找或者实例化一个JavaBean。 jsp:setProperty：设置JavaBean的属性。 jsp:getProperty：输出某个JavaBean的属性。 jsp:forward：把请求转到一个新的页面。 jsp:plugin：根据浏览器类型为Java插件生成OBJECT或EMBED标记。	2	JSP基本语法	2012年最新java笔试题	JSP
114	133． STRUTS的应用(如STRUTS架构)	Struts是采用Java Servlet/JavaServer Pages技术，开发Web应用程序的开放源码的framework。 采用Struts能开发出基于MVC(Model-View-Controller)设计模式的应用构架。 Struts有如下的主要功能： 一.包含一个controller servlet，能将用户的请求发送到相应的Action对象。 二.JSP自由tag库，并且在controller servlet中提供关联支持，帮助开发员创建交互式表单应用。 三.提供了一系列实用对象：XML处理、通过Java reflection APIs自动处理JavaBeans属性、国际化的提示和消息。	3	J2EE框架	2012年最新java笔试题	MVC
115	134、Jdo是什么? 	"JDO是Java对象持久化的新的规范，为java data object的简称,也是一个用于存取某种数据仓库中的对象的标准化API。JDO提供了透明的对象存储，因此对开发人员来说，存储数据对象完全不需要额外的代码（如JDBC API的使用）。这些繁琐的例行工作已经转移到JDO产品提供商身上，使开发人员解脱出来，从而集中时间和精力在业务逻辑上。另外，JDO很灵活，因为它可以在任何数据底层上运行。JDBC只是面向关系数据库（RDBMS）JDO更通用，提供到任何数据底层的存储功能，比如关系数据库、文件、XML以及对象数据库（ODBMS）等等，使得应用可移植性更强。"	3	J2EE基础知识	2012年最新java笔试题	J2EE基础知识
