qid	qtitle	qanswer	qdifficulty	qexplain	qsource	qmainpoint
195	在组件类的一些常用方法中  (_________)  方法是设置组件的前景颜色。	setForeground	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
196	Java中JFrame类的  (_________)   方法是用来设置窗口的名字。	setTitle	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
197	JFrame类创建的对象是一个窗口容器，它默认布局是 (_________)  布局。	BorderLayout	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
198	JPanel 的默认布局管理器是 (_________)  。	FlowLayout	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
199	(_________)对应的布局是容器将其中的组件按照加入的先后顺序从左向右排列。	FlowLayout	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
200	(_________)对应的布局是把容器内的空间简单地划分为东、西、南、北、中5个区域，每加入一个组件都应该指明把这个组件加在哪个区域中。	BorderLayout	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
201	(_________)是使用较多的布局编辑器，其基本布局策略是把容器划分成若干行乘若干列的网格区域，组件就位于这些划分出来的小格中。	GridLayout	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
202	FlowLayout、GridLayout、BordrLayout布局对象都可以使用方法setVgap(intvgap)设置当前布局中组件的  (_________)  。	垂直间距	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
203	FlowLayout、GridLayout、BordrLayout布局对象都可以使用方法setHgap(inthgap)设置当前布局中组件的  (_________)   。	水平间距	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
204	使用 (_________)  布局的容器可以容纳多个组件，但实际上同一时刻容器只能从这些组件中选出一个来显示。	CardLayout	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
205	"Java中能够产生事件的对象都可以成为  (_________)  ,如文本框、按钮、键盘等。"	事件源	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
206	Java中事件源发生事件时，  (_________)  就自动调用执行被类实现的某个接口方法。	监视器	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
207	Java中，  (_________)  负责接收和处理这种事件。	监听器	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
208	Java中为了能监视到ActionEvent类型的事件，事件源必须使用  (_________)  方法获得监视器。	addActionListener()	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
209	只要用户单击JButton，就会触发一个 ActionEvent 事件，该事件被监听器接收，它的方法  (_________)  被执行。	actionPerformed()	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
210	在监听类的事件处理方法中通过事件类的  (_________)  方法来获得事件源。	getSource()	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
211	ava的 (_________) 包中包含了许多用来处理事件的类和接口。	java.awt.event	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
212	鼠标事件类MouseEvent中的方法getSource(_________)是获取发生鼠标事件的  (_________)  。	事件源	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
213	鼠标事件的类型是  (_________)  ，即当发生鼠标事件时，该类自动创建一个事件对象。	MouseEvent	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
214	使用MouseListener接口处理鼠标事件，鼠标事件源发生的鼠标事件包括，按下鼠标键、释放鼠标键、 (_________)  鼠标键、鼠标进入和鼠标退出。	单击	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
215	MouseMotionListener 和MouseListener 都监听  (_________)  事件。	MouseEvent	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
216	Java中文本框类的  (_________)  方法是在文本框中设置文本。	setText(Strings)	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
217	Java中文本框类的  (_________)  方法是获取文本框中的文本。	getText()	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
218	Java中标签类的  (_________)   方法是设置标签的名字。	setText(Strings)	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
219	Java中标签类的 (_________)  方法是获取标签的名字。	getText()	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
220	Java中  (_________) 类是专门用来建立文本区的，即它的一个对象就是一个文本区。	JTextArea	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
221	javax.swing包中的 (_________) 类是专门用来建立选择框的。	JCheckBox	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
222	在JCheckBox类中，  (_________) 方法是用来返回选择框的布尔状态。	isSelected	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
223	javax.swing包中的类  (_________)  类是专门用来建立列表框。	JList	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
224	对话框与一般窗口的区别在于它必须 (_________) 于其他窗口。	依赖	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
225	对话框分为两种，如果  (_________)  对话框被显示，那么其他窗口都处于不活动状态，只有当用户关闭了对话框，才能操纵其他窗口。	有模式	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
226	对话框分为两种，如果  (_________)  对话框被显示，其他窗口照样处于活动状态。	无模式	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
227	在对话框类Dialog中的方法setModal(boolean)的作用是设置对话框的  (_________)  。	模式	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
228	在对话框类Dialog中的方法  (_________)  是设置对话框的大小。	setSize()	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
229	对话框的默认布局是  (_________)  布局，在创建对话框时必须有对话框大小的设置。	BorderLayout	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
230	(_________)是Dialog类的子类，它创建的对象称为文件对话框。	FileDialog	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
231	FileDialog是Dialog类的子类，它创建的对象称为 (_________)  。	文件对话框 	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
232	Java开发程序大多是  (_________)  的，即一个程序只有一条从头至尾的执行线索。	单线程	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
233	(_________)是指同时存在几个执行体，按几条不同的执行线索共同工作的情况。	多线程	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
234	(_________) 是指进程中的一个执行流程。	线程	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
235	一个进程在其执行过程中，可以产生多个 (_________)  ，形成多条执行线索。	线程	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
236	每个java程序都有一个默认的主  (_________) 。	线程	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
237	对于java应用程序，主线程都是从  (_________) 方法执行的线索。	main	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
238	在java中要想实现多线程，必须在主线程中创建新的  (_________)   。	线程对象	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
239	当一个线程处于  (_________)状态时，它仅仅是一个空的线程对象，系统不为它分配资源。	创建	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
240	一个正在执行的线程可能被人为地中断，让出CPU 的使用权，暂时中止自己的执行，进入 (_________)  状态。	阻塞	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
241	处于  (_________) 状态的线程不具有继续运行的能力。	死亡	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
242	处于  (_________)  状态的线程首先进入就绪队列排队等候处理器资源，同一时刻在就绪队列中的线程可能有多个。	就绪	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
243	在线程排队时，  (_________)  的线程可以排在较前的位置，能优先享用到处理器资源，而其他线程只能排在它后面再获得处理器资源。	优先级高	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
244	对于优先级相同的线程，遵循队列的  (_________)  原则被分配给处理器资源。	先进先出	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
245	Java语言使用  (_________) 类及其子类的对象来表示线程。	Thread	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
246	线程  (_________) 负责管理线程排队和处理器在线程间的分配，一般都配有一个精心设计的线程调度算法。	调度管理器	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
247	在java系统中，线程调度依据优先级基础上的  (_________) 原则。	先到先服务	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
248	"当生成一个  (_________)  类的对象之后,一个新的线程就产生了。"	Thread	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
249	Java 中编程实现多线程应用有两种途径：一种是用Thread 类的子类创建线程，另一种是用Thread 类结合 (_________) 接口创建线程。	Runnable	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
250	(_________) 类综合了Java 程序中一个线程需要拥有的属性和方法。	Thread	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
251	(_________)  方法将启动线程对象，使之从新建状态转入就绪状态并进入就绪队列排队。	start()	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
252	当 (_________) 方法执行完毕，线程就变成死亡状态，所谓死亡状态就是线程释放了实体，即释放分配给线程对象的内存。	run	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
253	利用 (_________) 方法创建新线程对象之后，这个对象中的有关数据被初始化，从而进入线程生命周期的新建状态。	构造	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
254	优先级高的线程可以在它的run(_________)方法中调用 (_________)  方法来使自己放弃处理器资源，休眠一段时间。	sleep()	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
255	Java多线程使用中，调用  (_________)  方法可确定当前占有CPU的线程。	currentThread	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
256	当线程调用start 方法时，一旦轮到它来享用CPU，目标对象就会自动调用接口中的 (_________)  方法。	run	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
257	一个实现了(_________) 接口的类实际上定义了一个主线程之外的新线程的操作。	Runnable	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
258	Thread 类代表线程类，它的方法  (_________)  ―包含线程运行时所执行的代码。	run()	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
259	Thread 类代表线程类，它的方法  (_________) 用于启动线程。	start()	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
260	Java 提供一个线程调度器来监控程序中启动后进入就绪状态的所有线程。线程调度器按照线程的  (_________)  决定应调度哪些线程来执行。	优先级	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
261	在(_________) 方式下，当前活动线程一旦获得执行权，将一直执行下去，直到执行完毕或由于某种原因主动放弃CPU，或者是有一高优先级的线程处于就绪状态。	独占	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
262	线程调用了yield(_________)或 (_________) 方法主动放弃CPU。	sleep()	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
263	线程的优先级用数字来表示， 范围从1 到 (_________) 。	10	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
264	一个线程的缺省优先级是(_________) 。	5	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
265	使用多线程时，有时需要协调两个或多个线程的活动。使线程协调工作的过程称为 (_________)  。	同步化	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
266	可以通过使用 (_________) 关键词修改方法来同步化对方法的访问。	synchronized	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
267	"线程中， (_________)  的作用:释放已持有的锁,进入等待队列。"	wait	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
268	线程中， (_________)  的作用：唤醒wait 队列中的第一个线程并把它移入锁申请队列。	notify	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
269	线程中， (_________)  的作用：唤醒wait 队列中的所有的线程并把它们移入锁申请队列。	notifyAll	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
270	(_________)将要查找的关键字key与数组中的元素逐个进行比较。	线性查找法	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
271	使用二分查找法的前提条件是数组中的元素必须已经(_________)	排好序	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
272	方法(_________)(double[]list)可以对任意一个double型元素数组进行排序。	selectionSort	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
273	java.util.Arrays类包括各种各样的(_________)	静态方法	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
274	不同于基本数据类型变量的声明，声明数组变量并不会给数组分配(_________)	任何空间	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
275	数组变量包含的是对(_________)的引用	数组	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
276	创建数组之后，它的(_________)就不能改变	大小	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
277	数组的下标重视从(_________)开始	0	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
278	当创建一个数组时，若它的元素是基本数据类型的数值，那么赋默认值(_________)	0	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
279	字符类型的默认值为\u0000，布尔类型的默认值为(_________)	false	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
280	将数组参数传递给方法时，实际上传递的是数组的(_________)	引用	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
281	(_________)代表现实世界中可以明确标识的一个实体	对象	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
282	一个对象的状态是指那些具有他们当前值的(_________)	数据域	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
283	一般情况下，将包含(_________)方法的类成为主类	main	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
284	构造方法没有返回(_________)，甚至连void也没有	类型	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
285	构造方法是创建一个对象使用new操作符时调用的。构造方法的作用是(_________)	初始化对象	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
286	通常，一个类会提供一个没有参数的构造方法。这样的构造方法称为(_________)	无参构造方法	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
287	要给新创建的对象在内存中分配空间。它们可以通过引用(_________)来访问	变量	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
288	Java只有一种参数传递的方式(_________)	值传递	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
289	private修饰符限定方法和(_________)只能在它自己的类中被访问	数据域	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
290	(_________)是对象的模板。它提供对象的属性，并提供创建对象的构造方法以及对对象进行操作的方法	类	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
291	对象是类的实例。可以使用new操作符创建对象，使用运算符(_________)通过对象的引用变量来访问对该对象的成员	.	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
292	类的每份实例都能访问这个类的静态方法和(_________)	静态变量	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
293	修饰符制定类、方法和(_________)是如何被访问的.	数据	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
294	可以提供(_________)方法，是客户看到数据	get	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
295	可以提供(_________)方法，是客户修改数据	set	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
296	所有传递给方法的参数都是(_________)	值传递	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
297	Java数组是有一个包含基本类型值或对象类型值。当创建一个对象数组时，它的元素被赋予默认值(_________)	null	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
298	字符串是封装在(_________)类中的对象	String	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
299	(_________)对象是不可变的，它的内容不能改变。	String	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
300	如果两个直接量字符串有相同的字符序列，Java虚拟机就将他们存储在(_________)中	一个对象	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
301	可以使用(_________)方法从字符串中提取特定下标位置的字符	charAt(index)	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
302	可以使用(_________)方法找出一个字符串中的某个字符	indexOf	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
303	可以使用(_________)方法找出一个字符串中的某个子串	lastIndexOf	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
304	可以使用(_________)方法连接两个字符串	concat	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
305	可以使用(_________)方法从字符串中提取子串	substring	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
306	关于字符串的比较，如果两个字符串相等，equals方法返回值为	true	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
307	关于字符串的比较，如果两个字符串不相等，equals方法返回值为	FALSE	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
308	关于字符串的比较，如果两个字符串相等，compareTo方法返回值为	0	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
