qid	qtitle	qoptA	qoptB	qoptC	qoptD	qanswer	qdifficulty	qexplain	qsource	qmainpoint
152	Java程序经过编译后生成的文件的后缀是（ ）	.obj            	.exe            	.class            	.java	C	4	"基本知识,细心你就懂"	百度文库	类与对象
153	编译Java程序的命令是（    ）	appletviewer	javac	java	javadoc	B	4	"基本知识,细心你就懂"	百度文库	类与对象
154	下列哪个选项不是JAVA语言的特点？（  ）	面向对象	高安全性	平台无关	面向过程	D	4	"基本知识,细心你就懂"	百度文库	类与对象
155	"System.out.println(""5"" + 2);的输出结果应该是（   ）。"	52	7	2	5	A	4	"基本知识,细心你就懂"	百度文库	类与对象
156	下列关于字符串的描述中，错误的是( )。	Java语言中，字符串分为字符串常量和字符串变量2种	两种不同的字符串都是String类的对象	Java语言中不再使用字符数组存放字符串	Java Application程序的main()的参数args[]是一个String类	C	4	"基本知识,细心你就懂"	百度文库	字符串
157	"执行代码String s=new String(""Hello"")后,正确的结论是（ ）。  "	s最后一个索引值为5 	"s的值和""Hello""并不一样 "	s.length为4 	s.length 为5	D	4	"基本知识,细心你就懂"	百度文库	字符串
158	StringBuffer( String s )方法分配了s大小的空间和（ ）个字符的缓冲区。	12	14	16	18	C	4	"基本知识,细心你就懂"	百度文库	字符串
159	"String（byte[ ],int,int）中，第三个参数用来生成字符串的byte型数组的（ ）。"	长度	起始位置	终止位置	终止位置+1	A	4	"基本知识,细心你就懂"	百度文库	字符串
160	"两个字符串String str1,str2;错误的连接二者的方式是（）。"	str1+str2	str1.str2	str1.contat(str2)	str2.contat(str1)	B	4	"基本知识,细心你就懂"	百度文库	字符串
161	"String date＝""Today is Sunday"";把date转换成全小写的语句是（ ）。"	toLowerCase(date);	date.toLowerCase();	date.toUpperCase();	toUpperCase(date);	B	4	"基本知识,细心你就懂"	百度文库	字符串
162	"String date＝""Today is Sunday."";String str2=data.CharAt(s.length()-1);则str2为（ ）。"	y	.	null	FALSE	B	4	"基本知识,细心你就懂"	百度文库	字符串
163	关于字符串比较，下列叙述哪个是正确的（ ）。	比较字符串是否完全相同不能用==	equals()和equalsIgnoreCase()的作用完全一致	equalsIgnoreCase()表示如果两个字符串完全相同则返回true，否则返回false	"String date1,date2;则比较二者是否相同的语句是data1=equals(data2);"	D	4	"基本知识,细心你就懂"	百度文库	字符串
164	关于compareTo()，下列表述错误的是（ ）。	字符串相等则返回0	字符串不等则返回正数或负数	compareTo()要求两个作比较的字符串必须完全相等	compareTo()和compareIgnoreCase()的作用没有区别	D	4	"基本知识,细心你就懂"	百度文库	字符串
165	"设字符串变量str1=""abc"";str2=""defg"";则str1.compareTo(str2)的返回值为（ ）。*"	2	-3	3	-2	B	4	"基本知识,细心你就懂"	百度文库	字符串
166	boolean endsWith(String s)表示（）。	查找某字符串是否以s为结尾	查找某字符串是否与s完全匹配	确定某字符串与s的大小关系	确定某字符串是否以s为开始	A	4	"基本知识,细心你就懂"	百度文库	字符串
167	"float f;String s;现需要把float转化为String,正确的语句是（）。"	s=String.valueOf(f);	f=Float.parseFloat(s);	s=f;	s=(String)f;	A	4	"基本知识,细心你就懂"	百度文库	字符串
168	当使用getChars()时，正确的表述是（ ）。	该函数用于字符数组转换成字符串	该函数不需要任何参数	该函数用于float或double转换成字符数组	该函数用于从字符串转换成字符数组	D	4	"基本知识,细心你就懂"	百度文库	字符串
169	"byte b[ ]= ""今天星期六"".getBytes();String s=new String(b,4,6);则s为（ ）。"	天星期六	星期六	期六	今天是	C	4	"基本知识,细心你就懂"	百度文库	字符串
170	"s=s.replaceAll (""he"", ""she"");表示（ ）。"	把s中的所有she换成he	把s中的第一个she换成he	把s中的所有he换成she并把新的字符串赋给s	把s中的第一个he换成she并把新的字符串赋给s	C	4	"基本知识,细心你就懂"	百度文库	字符串
171	"StringBuffer append(char[ ],int int1,int int2)表示（ ）。"	向一个字符串追加字符数组，范围从数组的索引int1开始，到索引int2结束	向一个字符串追加字符数组，范围从数组的索引int1开始，到索引int2-1结束	向一个字符串追加字符数组，范围从数组的索引int1开始，长度为int2	向一个字符串追加字符数组，范围从数组的索引int1开始，长度为int2-1	A	3	"基本知识,细心你就懂"	百度文库	字符串
172	"s=s.delete(5,12);如果s=""abcdefghigklmn"",则执行删除语句后，s的值为（ ）。"	abcdefn	abcdemn	abcde       mn	abcdelmn	B	3	"基本知识,细心你就懂"	百度文库	字符串
173	使用void setLength(int length)设置字符串长度时，如果length大于原字符串长度，那么将会在字符串后面补上（ ）。	字符‘\u0000’	不做任何操作	任意字符	补0	A	3	"基本知识,细心你就懂"	百度文库	字符串
174	"StringBuffer s=new StringBuffer(""Hello"");int len1,len2;len1=s.capacity();len2=s.length();则len1-len2=（ ）。"	0	16	5	不确定	B	3	"基本知识,细心你就懂"	百度文库	字符串
175	"设原字符串s为StringBuffer型，且s=""Hello java"",如果想用子串替换把s转换成""Hello World"",则正确的语句是（）。"	"s.replace(6,9,""World"");"	"s.replace(6,10,""World"");"	"s=""World"";"	"s=replace(""java"",""World"");"	B	3	"基本知识,细心你就懂"	百度文库	字符串
176	StringBuffer reverse();表示（ ）。	字符串反转	字符串清空	字符串的赋值	字符串删除	A	3	"基本知识,细心你就懂"	百度文库	字符串
177	String与StringBuffer最大的区别在于（ ）。	它们没有区别	String对原字符串的拷贝进行操作，而StringBuffer对原字符串本事操作	StringBuffer拥有更多相关函数	String更节省空间	D	3	"基本知识,细心你就懂"	百度文库	字符串
178	"如果需要把s=""It,is,me""按照""，""分解，并赋给新的变量s1，下列语句正确的是（）。"	String s1=new StringTokenizer(s);	"String s1=new StringTokenizer(s,"","");"	"StringTokenizer s1=new StringTokenizer(""It,is,me"");"	"StringTokenizer s1=new StringTokenizer(s,"","");"	D	3	"基本知识,细心你就懂"	百度文库	字符串
179	"关于main方法中的arg[],下列哪个表述是正确且全面的（ ）。"	main方法中的参数是字符串数组arg[ ]，args是命令行参数，字符串数组arg[ ]的元素是在程序运行时从命令行输入的。	main方法中的参数是字符串数组arg[ ]，args是命令行参数，字符串数组arg[ ]的元素是在程序编译时从命令行输入的。	main方法中的参数是字符串数组arg[ ]，args是命令行参数，字符串数组arg[ ]的元素是在程序编译时直接写入txt文件的。	main方法中的参数是字符串数组arg[ ]，args是命令行参数，字符串数组arg[ ]的元素可以在任何需要的时刻内输入。	A	3	"基本知识,细心你就懂"	百度文库	字符串
180	最早的计算机图形界面是( )。	微软公司的视窗版本操作系统Windows 1.0	苹果公司的操作系统Macintosh	施乐公司帕洛阿尔托研究中心的WIMP图形界面	针对电子制表软件的Visi On界面	C	3	"基本知识,细心你就懂"	期末考试真题	图形界面
181	下列哪一项不是用户界面开发的设计原则( )。	用户至上	可个性化定制	交互界面友好	配色方案合理	B	3	"基本知识,细心你就懂"	期末考试真题	图形界面
182	下列哪一项不是Java图形用户界面主流开发组件集( )。	AWT	Applet	Swing	SWT	B	3	"基本知识,细心你就懂"	期末考试真题	图形界面
183	下列哪一项不是AWT的组件类别( )。	容器类组件	事件型组件	布局类组件	普通类组件	B	3	"基本知识,细心你就懂"	期末考试真题	图形界面
184	AWT提供了几种基本的布局方式( )。	3	4	5	6	C	3	"基本知识,细心你就懂"	期末考试真题	图形界面
185	下列哪种不是AWT容器类组件( )。	Dialog	Applet	Frame	Canvas	D	3	"基本知识,细心你就懂"	期末考试真题	图形界面
186	关于Flow Layout布局方式，下列哪一项是不正确的( )。	内部组件从左向右排列	界面不随容器大小改变	内部组件从上到下排列	本行设置不下，自动排列到下行	B	3	"基本知识,细心你就懂"	期末考试真题	图形界面
187	关于Border Layout布局方式，容器被划分为几个区( )。	3	4	5	6	C	3	"基本知识,细心你就懂"	期末考试真题	图形界面
188	Border Layout布局方式的默认位置( )。	NORTH	CENTER	SOUTH	EAST	B	3	"基本知识,细心你就懂"	期末考试真题	图形界面
189	关于Grid Layout布局方式，下列哪一项是不正确的( )。	会根据容器大小自动排列	容器被划分为行和列的网格	添加组件的顺序为自左向右	可指定水平间隔和垂直间隔	A	3	"基本知识,细心你就懂"	期末考试真题	图形界面
190	关于GridBag Layout布局方式，下列哪一项是不正确的( )。	所有行和列都可以大小不同	组件在容器内占据不同大小的矩形区域	有个独立的类约束布局行为	需要指定行数和列数	D	3	"基本知识,细心你就懂"	期末考试真题	图形界面
191	关于XY Layout布局方式，下列哪一项是不正确的( )。	基于X和Y坐标的绝对位置定位内部组件	使用时依赖于特定包	与平台无关	不利于程序移植	C	3	"基本知识,细心你就懂"	期末考试真题	图形界面
192	下列哪一项不是AWT普通组件( )。	复选框	列表框	对话框	滚动条	C	3	"基本知识,细心你就懂"	期末考试真题	图形界面
193	关于文本框，下列哪一项是不正确的()。	始终可以编辑	常用于接收用户输入或程序输出	只允许显示单行的文本信息	可限制宽度	A	3	"基本知识,细心你就懂"	期末考试真题	图形界面
194	关于文本域，下列哪一项是不正确的( )。	文本长度限制为65535字节	用来接收用户输入和程序输出	常用于处理大量文本	允许进行多行输入和输出	A	3	"基本知识,细心你就懂"	期末考试真题	图形界面
195	关于复选框，下列哪一项是不正确的()。	一种接受用户输入的快捷方式	可多选	点击选中，再次单击取消	多个复选框出现时，必须选择至少一项	D	3	"基本知识,细心你就懂"	期末考试真题	图形界面
196	关于单选框，下列哪一项是不正确的( )。	从复选框衍生而来	对于一个单选框组，一般情况下可都不选中	和复选框使用同一个类Checkbox	需要配合CheckboxGroup使用	B	3	"基本知识,细心你就懂"	期末考试真题	图形界面
197	关于列表框，下列哪一项是不正确的( )。	可以有多行，每行文本代表一个选项	可多选也可单选	一般情况下不能编辑	行数一般限制为255行	D	3	"基本知识,细心你就懂"	期末考试真题	图形界面
198	关于下拉框，下列哪一项是不正确的( )。	和列表框相比，占据较小的界面区域	一般情况下选择后可以再编辑	一般需要两次鼠标点击完成选择	只能单选	B	3	"基本知识,细心你就懂"	期末考试真题	图形界面
199	关于滚动条，下列哪一项是不正确的( )。	可以用作取值器	可以用来滚动显示较长的文本信息	用做滚动条时，只能用于容器类组件	用户可以调整大小	D	3	"基本知识,细心你就懂"	期末考试真题	图形界面
200	菜单相关类不包括( )。	MenuBar	MenuItem	CheckboxMenuItem	ListMenuItem	D	3	"基本知识,细心你就懂"	期末考试真题	图形界面
201	关于菜单相关类的继承结构，下列哪一项是不正确的( )。	Menu是MenuItem的子类	MenuBar是MenuComponent的子类	PopupMenu是Menu的子类	CheckboxMenuItem是Menu的子类	D	3	"基本知识,细心你就懂"	期末考试真题	图形界面
202	关于菜单相关类，下列哪一项是不正确的( )。	MenuBar对应一列菜单	MenuItem对应具体菜单	CheckboxMenuItem为带复选框的菜单项	PopupMenu对应弹出的具体菜单	A	3	"基本知识,细心你就懂"	期末考试真题	图形界面
203	关于事件处理，下列哪一项是不正确的( )。	JDK1.0及以前提供层次事件模型	层次事件模型又被称为事件派遣机制或授权事件机制	JDK1.1及以后提供监听事件模型	监听事件模型效率远高于层次事件模型	B	3	"基本知识,细心你就懂"	期末考试真题	图形界面
204	关于事件相关的ActionEvent类，下列哪一项是不正确的( )。**	表示一个广义的行为事件	可代表鼠标点击和文本框回车行为	监听对不同的事件提供不同的抽象方法	监听器只有一个抽象方法，用来放置事件处理代码	C	3	"基本知识,细心你就懂"	期末考试真题	图形界面
205	关于JAVA事件机制，下列哪一项是不正确的( )。***	对一个组件的某类事件，只能注册一个监听器	有多个事件类和对应的监听器类	使用时需要对目标组件注册监听器，处理对应具体事件	注册监听器后可以随时撤销	D	3	"基本知识,细心你就懂"	期末考试真题	图形界面
206	对于键盘事件类KeyEvent，下列哪一项是不正确的( )。	监听器为KeyListener	监听器有三个抽象方法，处理不同的键盘事件	主要有键按下，键抬起，击键(按下+抬起)三类事件	对一次击键，监听器只能选择处理一种事件	C	3	"基本知识,细心你就懂"	期末考试真题	图形界面
207	对于鼠标事件MouseEvent，下列哪一项是不正确的( )。**	有两类监听器，MouseListener和MouseMotionListener	MouseListener处理鼠标点击事件	一次鼠标操作，只能触发两类监听器中的一种	MouseMotionListener处理鼠标移动事件	C	3	"基本知识,细心你就懂"	期末考试真题	图形界面
208	关于TextEvent类，下列哪一项是不正确的()。	只有用户键盘输入触发该类事件，粘贴文本不能触发	文本框或文本域内容变化时，触发该类事件	监听器为TextListener，只有一个抽象方法	注册组件调用addTextListener()方法	A	3	"基本知识,细心你就懂"	期末考试真题	图形界面
209	关于焦点事件FocusEvent类，下列哪一项是不正确的( )。	当组件获得或失去焦点时，触发该事件	当前活动窗口中，有且只有一个组件拥有焦点	"对应的监听器为FocusListener,有两个抽象方法"	只有鼠标单击选择组件时能触发该事件	D	3	"基本知识,细心你就懂"	期末考试真题	图形界面
210	关于窗口事件WindowEvent类，处理的事件不包括( )。	窗口打开	窗口移动	窗口缩小	窗口激活	B	3	"基本知识,细心你就懂"	期末考试真题	图形界面
211	关于事件处理程序编写步骤，不包括哪一项( )。	实现某一事件的监听器接口（定义事件处理类并实现监听器接口）	在事件处理类中根据实际需要实现相应的抽象方法	给组件注册相应事件监听器以指明该事件的事件源有哪些	触发该类事件并测试	D	3	"基本知识,细心你就懂"	期末考试真题	图形界面
212	关于适配器类，下列哪一项是不正确的( )。	适配器类用于简化事件处理程序编写	所有的监听器接口都有对应的适配器类	事件监听器类必须实现所有的抽象方法	适配器类只是实现了接口中所有抽象方法的空类，本身无实际功能	B	3	"基本知识,细心你就懂"	期末考试真题	图形界面
213	关于GUI组件集Swing，下列哪一项是不正确的( )。	在AWT基础上开发	重新设计了所有的布局方式	比AWT提供了更多更强的组件	能处理更多的事件	B	3	"基本知识,细心你就懂"	期末考试真题	图形界面
214	关于计算机输入和输出，下列哪一项是不正确的( )。**	一般称为IO: Input Output	计算机程序的一般模型可归纳为：输入	计算和输出	对于同样的程序，不同的输入，一般会有不同的输出	C	3	"基本知识,细心你就懂"	期末考试真题	文件相关
215	关于流(Stream)，下列哪一项是不正确的( )。	是对数据传送的一种抽象	一般不用来处理文件	分为输入流和输出流	Java中主要的包是java.io	B	3	"基本知识,细心你就懂"	期末考试真题	文件相关
216	关于流(Stream)相关的类，下列哪一项是不正确的( )。	InputStream和OutputStream类是用来处理字节（8位）流的	Reader和Writer类用来处理字符（16位）流	各个类之间相互独立，没有关联	File类则用来处理文件	C	3	"基本知识,细心你就懂"	期末考试真题	文件相关
217	关于Java的标准输入输出流，下列哪一项是不正确的( )。	System.out和System.in分别用来处理标准输出和输入	标准输入和输出均只针对计算机键盘和屏幕	Java对输入和输出编程均要求强制异常保护	只有一个标准输入流	C	3	"基本知识,细心你就懂"	期末考试真题	文件相关
218	关于Java的双字节流，下列哪一项是不正确的( )。	除了一般ASCII字符，很多其他语言比如汉字，一个字都需要至少2个字节存储	任何双字节字符不能转化为单字节字符，因为会丢失信息	主要是为了将一般字符与其他字符（如汉字字符）统一起来，方便处理	若程序使用char存储，任何单字节字符都转化成双字节存储	B	3	"基本知识,细心你就懂"	期末考试真题	文件相关
219	对于标准输入流，下列哪一项是不正确的( )。**	System.in只能提供字节为单位的数据输入	System.in被通过InputStreamReader和BufferedReader类的对象进行了两次包装	输入的字符串需要二次编程转化为具体数据类型	BufferedReader可以提供以行为单位的输入	A	3	"基本知识,细心你就懂"	期末考试真题	文件相关
220	关于InputStream的描述，下列哪一项是不正确的( )。	以字节为单位输入	是多个流类的父类	StringBufferInputStream是其中一个子类	一般不用来处理文件输入	D	3	"基本知识,细心你就懂"	期末考试真题	文件相关
221	对于ByteArrayInputStream类，下列哪一项是不正确的( )。	和InputStream类有很大的不同	有四个成员变量：buf	count	mark	A	3	"基本知识,细心你就懂"	期末考试真题	文件相关
222	对于FileInputStream类，下列哪一项是不正确的( )。	从InputStream类继承	不支持InputStream的有些方法	不适合读取字符文件，适合读取字节文件	能实现文件的倒序读取	D	3	"基本知识,细心你就懂"	期末考试真题	文件相关
223	下列哪项不是Java标准库中FilterInputStream类的子类( )。	BufferedInputStream	DataInputStream	LineNumberInputStream	ImageInputStream	D	3	"基本知识,细心你就懂"	期末考试真题	文件相关
224	下列哪项不是Java标准库中OutputStream类的子类( )。	ByteArrayOutputStream	DataOutputStream	PrintStream	LineNumberOutputStream	D	3	"基本知识,细心你就懂"	期末考试真题	文件相关
225	关于字符流，下列哪一项是不正确的( )。	为方便16位Unicode字符处理而引入的	可处理任意编码的非ASCII字符	以两个字节为基本输入输出单位	有两个基本类：Reader和Writer	B	3	"基本知识,细心你就懂"	期末考试真题	文件相关
226	下面哪个不是Java标准库中Reader类的子类( )。	CharArrayReader	InputStreamReader	DataInputReader	StringReader	C	3	"基本知识,细心你就懂"	期末考试真题	文件相关
227	下面哪个不是Java标准库中Writer类的子类( )。	FilterWriter	PrintWriter	LineNumberWriter	FileWriter	C	3	"基本知识,细心你就懂"	期末考试真题	文件相关
228	关于File类，下列哪一项是不正确的( )。**	可直接获取文件相关信息，如文件名和路径等	可读取和存储文件内容	可以用来表示文件和目录	可通过各种流类包装读写文件	D	3	"基本知识,细心你就懂"	期末考试真题	文件相关
229	关于RandomAccessFile类，下列哪一项是不正确的( )。***	支持文件的随机存取，即存取任意位置的数据	区别对待二进制文件和字符文件	使用者需要清楚文件中各数据的长度和位置	操作方式比通过Stream类的方式要强大	B	3	"基本知识,细心你就懂"	期末考试真题	文件相关
230	下面哪一项不是文件读写操作的步骤( )。	以某种读写方式打开文件	进行文件读写操作	保存文件	关闭文件	B	3	"基本知识,细心你就懂"	期末考试真题	文件相关
231	对于Java标准输入输出流，下列哪一项是不正确的( )。	标准输入流	错误输入流	标准输出流	错误输出流	B	3	"基本知识,细心你就懂"	期末考试真题	文件相关
232	事件类MouseEvent的监听类MouseListener的抽象方法有几个( )。	4	5	6	7	B	3	"基本知识,细心你就懂"	期末考试真题	java事件
233	事件类FocusEvent的监听类FocusListener的抽象方法有几个( )。	1	2	3	4	B	3	"基本知识,细心你就懂"	期末考试真题	java事件
234	事件类WindowEvent的监听类WindowListener的抽象方法有几个( )。	5	6	7	8	B	3	"基本知识,细心你就懂"	期末考试真题	java事件
235	Java标准输入输出流的标准流对象数为( )。	2	3	4	5	B	3	"基本知识,细心你就懂"	期末考试真题	java事件
236	Java标准输入输出流的标准流对象数为( )。	2	3	4	5	B	3	"基本知识,细心你就懂"	期末考试真题	java事件
237	以下哪一个为标准输出流类( )。	DataOutputStream	FilterOutputStream	PrintStream	BufferedOutputStream	C	3	"基本知识,细心你就懂"	期末考试真题	java事件
238	将读取的内容处理后再输出，适合用下列哪种流( )。	PipedStream	FilterStream	FileStream	ObjectStream	A	3	"基本知识,细心你就懂"	期末考试真题	java事件
239	DataInput和DataOutput是处理哪一种流的接口( )。	文件流	字节流	字符流	对象流	B	3	"基本知识,细心你就懂"	期末考试真题	jbvb事件
240	以下不是Reader基类的直接派生子类的是( )。	BufferedReader	FilterReader	FileReader	PipedReader	C	3	"基本知识,细心你就懂"	期末考试真题	jcvc事件
241	测试文件是否存在可以采用如下哪个方法( )。	isFile()	isFiles()	exist()	exists()	A	3	"基本知识,细心你就懂"	期末考试真题	java事件
242	下列不是java的位运算符的是（ ）。	~	^	|	!	D	3	"基本知识,细心你就懂"	期末考试真题	java综合知识
243	java中用来定义包的关键字是（  ）。	package	import	com	class	A	3	"基本知识,细心你就懂"	期末考试真题	java综合知识
244	抽象类是（  ）。	不能派生子类的类	不能实例化的类	所有方法都是抽象方法的类	方法体为空的类	B	3	"基本知识,细心你就懂"	期末考试真题	java综合知识
245	继承是面向对象的重要特征，它可以（  ）。	优化程序的存储空间	使代码重用，降低程序复杂程度	保证类和接口的安全	更容易地实例化类得对象	B	3	"基本知识,细心你就懂"	期末考试真题	java综合知识
246	"语句""Hello"".equals(""hello"")的正确执行结果是（ ）。"	TRUE	FALSE	0	1	C	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
247	下列关于面向对象的论述中，正确的是（a  ）。	面向对象是指以对象为中心，分析	设计和实现应用程序的机制	面向对象是指以功能为中心，分析	设计和实现应用程序的机制	A	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
248	下列整数的定义中，错误的是（ ）。	int f=314.0;	int a=012;	int i=189;	int d=0x123;	A	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
249	下列变量的定义中，错误的是（ ）。	int x=8;	float f;d;	"String s=""hello"";"	boolean b=true;	B	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
250	"下列代码的执行结果是：int a=""hello"".length();system.out.println(a); ( )"	6	5	2	10	A	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
251	下列特点中不属于java的是（  ）。	多线程	多继承	跨平台	动态性	D	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
252	下列变量定义中，不合法的是（  ）。	int $x;	int _12;	int Summer_2012;	int #dim;	D	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
253	下列选项中为单精度数的是（  ）。	2	5.8	0.2f	23	B	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
254	"若定义int a=2,b=2，下列表达式中值不为4的是（  ）。"	a+(++b);	a*(b++);	a+b;	a*b;	A	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
255	下列选项中属于字符串常量的是（  ）。	'abc'	"""abc"""	(abc)	{abc}	A	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
256	java所有类的父类是（ ）。	Father	Lang	Exception	Object	D	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
257	下列数中为八进制的是（  ）。	27	0x25	26	28	C	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
258	下列选项中，与成员变量共同构成一个类得是（  ）。	关键字	方法	运算符	表达式	C	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
259	下列不属于表达式语句的是（  ）。	++i;	--j;	b#a;	b+=a;	C	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
260	下列不属于逻辑运算符的是（  ）。	！	||	&&	|	D	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
261	下列不属于关系运算符的是（  ）。	>	<	>>	!=	C	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
262	下列不属于关系运算符的是（ ）。	>	<	>>	!=	C	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
263	内部数据类型byte的取值范围是(   )	0——65	-128——127	–32768——32767 	256—— 255	B	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
264	System.out.println(4|3)能打印出什么结果？（  ）	6	0	1	7	C	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
265	对public void add(int a) {…}方法的重载方法应返回（ ）	void	int 	float	任何类型	B	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
266	在JAVA中下面哪一行代码不出现编译警告或错误（  ）。	float f=1.3;	"char c=""a"";"	byte b=257;	int i=10;	D	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
267	以下（  ）不是Java的原始数据类型。	short	boolean	unit	float	C	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
268	在Java中，以下（ ）标识符是不是合法的。	IDoLikeTheLongNameClass	$byte	_ok	4_case	D	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
269	在java中，下列（  ）语句不能通过编译。	"String s=""john""+""was""+""here"";"	"String s=""john""+3;"	float f=5+5.5;	int a=3+5;	C	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
270	在Java语言中，下面变量命名合法的有（ )。	variable123	123varable	Private(private)	-variable_123	A	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
271	"在JAVA中,(  )关键字用来终止循环语句。"	Return	Continue	Break	Exit	C	3	"基本知识,细心你就懂"	2013年最新模拟题	java综合知识
272	以下Java语句，会产生编译错误的是（   ）。	"if(2==3) System.out.println(""Hi"");"	"if(2=3) System.out.println(""Hi"");"	"if(true) System.out.println(""Hi"");"	"if(2!= 3) System.out.println(""Hi"");"	A	3	"基本知识,细心你就懂"	2012年期末真题	java综合知识
273	"已知：int x=10,y=4; x/y的值为（  ）。"	2	2	2.5	0	C	3	"基本知识,细心你就懂"	2012年期末真题	java综合知识
274	下面对于方法的描述，正确的有(  )。	方法必须返回一个值	方法可以返回多个值	在方法内可以定义其他方法	方法可以有多个参数	C	3	"基本知识,细心你就懂"	2012年期末真题	java综合知识
275	指出正确的表达式(  )。	byte b=128;	Boolean x=null; 	Long m= oxfffL; 	Double d=0.9239d	B	3	"基本知识,细心你就懂"	2012年期末真题	java综合知识
276	在java中，有下面代码，其中可以正确编译的是（  ）。	double d = (int)2; 	int I = 1.34; 	int I = (double)1; 	以上都对	A	3	"基本知识,细心你就懂"	2012年期末真题	java综合知识
277	在java中，变量名正确的是（）。	$(student) 	1_people 	_ok	"""name"""	C	3	"基本知识,细心你就懂"	2012年期末真题	java综合知识
278	在java中，使用switch语句时，如希望设置默认值，则需要使用（ ）关键字。	Case	Do	Default	else	C	3	"基本知识,细心你就懂"	2012年期末真题	java综合知识
279	在Java中，关于类与对象的说法，正确的是（  ）。	代码：string s = new string(); 中的string 是类，s是对象	对像包括类，类是对象有具体表现	对象拥有自己的行为和属性，和对应的类没有关系	学生，可以看作是张三类或者李四类的对象	D	3	"基本知识,细心你就懂"	2012年期末真题	java综合知识
280	在Java中，下列说法正确的是( )。	编写的源程序保存在扩展名为class的文件中 	源程序编译后保存在扩展名为java的文件中  	编写的源程序必须先编译后才能运行	程序员可以读懂扩展名为class的文件	C	3	"基本知识,细心你就懂"	2012年期末真题	java综合知识
281	在Java类中，使用以下（ ）声明语句来定义公有的int型常量MAX。	public int MAX = 100; 	final int MAX = 100; 	public static int MAX = 100;  	public static final int MAX = 100;	C	3	"基本知识,细心你就懂"	2012年期末真题	java综合知识
282	在Java中，下列关于方法重载的说法中错误的是（  ）。 	方法重载要求方法名称必须相同 	重载方法的参数列表必须不一致	重载方法的返回类型可以不一致 	一个方法在所属的类中只能被重载一次	D	3	"基本知识,细心你就懂"	2012年期末真题	java综合知识
283	在Java中，下面对于构造方法的描述正确的是（ ）。	类必须显式定义构造方法	构造方法的返回类型是void	构造方法和类有相同的名称，并且不能带任何参数	一个类可以定义多个构造方法	D	3	"基本知识,细心你就懂"	2012年期末真题	java综合知识
284	在Java语言中，下列关于类的继承的描述，正确的是（ ）。	一个类可以继承多个父类 	一个类可以具有多个子类 	子类可以使用父类的所有方法	子类一定比父类有更多的成员方	C	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
285	子类与父类的方法定义完全相同，但是方法的实现却不同，这是采用了方法的(  )。	重载      	实现      	覆盖     	继承	D	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
286	在类的说明符中，被指定为私有的数据可以被以下（ ）访问。	程序中的任何方法 	其他类的成员方法	本类中的成员方法	子类中的成员方法	C	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
287	如果要让一个变量的值不被修改，可以将这个变量用关键字(  )修饰。	static    	super	final	finally	C	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
288	在 JAVA编程中，Java编译器会将Java程序转换为（ ）。	字节码	可执行代码	机器代码	以上所有选项都不正确	A	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
289	在Java中，下面关于构造方法的描述正确的是（）。	类必须有显式构造函数	它的返回类型是void	它和类有相同的名称，但它不能带任何参数	以上皆非	D	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
290	我们在方法前面加上关键字（ ）后，该方法不需要对象就可以调用。	this    	public        	static      	final	C	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
291	在Java中，根据你的理解，下列方法（  ）不可能是类Orange的构造方法。	Orange（）{…}      	Orange（…）｛…｝       	Public void Orange(){…}       	Public Orange(){…}	C	5	"基本知识,细心你就懂"	2012年期末真题	java综合知识
